"ID","Area","Route or file","Role","Severity","Confidence","Finding","Evidence","User impact","Business impact","Security impact","Recommended action","Effort","Priority","Status"
"SEC-001","Tenant isolation","app/api/attendance/route.ts; prisma/policies/rls.sql","Teacher/Admin","P0 Critical","High","Attendance API accepts unvalidated student IDs and can create possible cross-tenant data contamination if a foreign student ID is supplied.","API creates attendance records from submitted studentId values; RLS checks session institution but not student institution.","False attendance and possible wrong-student records.","Blocks paid launch for multi-tenant SaaS trust.","Possible cross-tenant data contamination.","Validate each student belongs to institution, class, and active academic scope; add DB/RLS consistency tests.","M","P0","Implemented; DB RLS verification pending"
"SEC-002","Permissions","app/(app)/attendance/[classId]/page.tsx; app/api/attendance/route.ts","Teacher","P1 High","High","Teacher class scope is enforced on attendance list but not on attendance detail/API.","List page uses getTeacherClassIds; detail page fetches any class by id and institution; API lacks assigned-class check.","Teacher can alter another class attendance by deep link or direct POST.","Breaks role promise and school trust.","Broken object-level authorisation inside tenant.","Apply shared teacher class authz helper to page and API.","S","P1","Implemented; live role verification pending"
"PAY-001","Payments","app/p/[token]/page.tsx; app/parent/page.tsx; landing components","Parent","P1 High","High","Parent Razorpay payment is not usable while public copy claims UPI/Razorpay fee collection.","Parent pages say online payment is coming soon; landing/pricing claim payment support.","Parents cannot pay as promised.","Conversion and trust risk.","None direct, but payment trust risk.","Complete parent payment or remove claims until complete.","M","P1","Open"
"PAY-002","Payments","app/api/razorpay/webhook/route.ts","External webhook","P1 High","High","Razorpay webhook lacks stored order, amount, currency, and invoice reconciliation.","Webhook verifies signature but trusts payment notes/invoice ID and amount.","Incorrect invoice/payment state possible.","Financial disputes and reconciliation failure.","Webhook manipulation/replay edge risk.","Persist orders and reconcile order_id, amount, currency, invoice, institution, status, and event id.","M","P1","Open"
"PAY-003","Payments","app/api/fees/invoices/[id]/payments/route.ts","Owner/Admin/Accountant","P1 High","High","Manual payments lack idempotency and concurrency protection.","Route checks remaining balance then creates payment without lock/idempotency key.","Duplicate submit can overpay invoice.","Financial corruption and support burden.","Integrity risk.","Add idempotency keys and transaction/locking pattern; test concurrent submissions.","M","P1","Open"
"PAY-004","Payments","app/api/fees/invoices/[id]/receipt/route.ts","Owner/Admin/Accountant","P1 High","Medium","Receipt generation mutates state on GET.","GET can assign receipt number through admin update.","Unexpected state changes and race-prone receipt numbers.","Accounting/audit trust risk.","Integrity/audit risk.","Assign receipt numbers in explicit transaction or idempotent POST/payment finalisation.","S","P1","Open"
"PUSH-001","Push","app/api/push/send/route.ts","Anonymous/Server","P1 High","High","Push send endpoint can fail open if PUSH_SEND_TOKEN is unset.","Token check only runs when env var exists; no userId targets all subscriptions.","Users can receive arbitrary notifications in misconfigured production.","Severe trust and support risk.","Unauthenticated push abuse.","Require token/auth unconditionally and fail closed; tenant-scope sends.","S","P1","Implemented; provider verification pending"
"MSG-001","Communications","lib/messaging/provider.ts; app/api/communications/send/route.ts","Owner/Admin/Teacher","P1 High","High","Communications use ConsoleProvider and may mark messages sent without real delivery.","Console provider logs message and returns success.","Staff think parents received messages when they did not.","Core fee/admissions follow-up fails.","PII in logs.","Separate queued/sent/delivered/failed; require real provider for production.","M","P1","Open"
"AUTH-001","Authentication","app/api/staff/direct/route.ts","Owner/Admin","P1 High","High","Direct staff creation shares plaintext generated passwords.","Password generated with Math.random and returned/shared via WhatsApp.","Credentials can leak through chat/screenshots/logs.","Security trust blocker.","Weak credential handling.","Use invite/reset/OTP; crypto random if temporary; force reset; never expose reusable passwords.","M","P1","Implemented; live invitation verification pending"
"FILE-001","Files","app/api/homework/upload/route.ts","Teacher/Admin","P1 High","High","Homework uploads use public URLs and weak content validation.","Service-role upload accepts MIME/type and returns public URL.","Unsafe files or child data may become public.","Privacy and trust risk.","Public file exposure risk.","Use private bucket/signed URLs, role/class checks, content validation, audit logs.","M","P1","Implemented; storage-policy verification pending"
"EXPORT-001","Exports","lib/export/csv.ts","Owner/Admin/Accountant","P1 High","High","CSV exports are formula-injection vulnerable.","CSV escaping does not neutralise values starting with =,+,-,@, tab, or CR.","Opening exports can trigger malicious formulas.","Support and trust risk.","Client-side formula injection through exports.","Escape dangerous cells and add malicious CSV tests.","XS","P1","Resolved and verified"
"PWA-001","PWA/Offline","public/sw.js; lib/offline/db.ts","Teacher/Admin/Parent","P1 High","High","Offline claims exceed implementation and stale cache can return expired data.","Service worker handles push only; stale cache condition returns data after max age.","Users may trust stale or unsynced records.","Retention and trust risk.","Shared-device/stale-data risk.","Fix cache expiry; implement or narrow offline claims; add conflict/logout failed-sync UX.","M","P1","Open"
"AUD-001","Audit logs","Multiple APIs","Owner/Admin","P1 High","High","Sensitive actions are not consistently audit logged.","Audit table/page exists but coverage is sparse for attendance, fees, students, exports, communications.","Disputes cannot be investigated.","Schools lose confidence in records.","Forensic gap.","Add shared audit helper and cover critical create/update/delete/export/payment actions.","M","P1","Open"
"QA-001","Engineering quality","app/(app)/settings/academic-year/academic-year-client.tsx; app/parent/page.tsx; components/shell/offline-indicator.tsx","All","P1 High","High","Lint fails.","pnpm lint returned 4 errors and 18 warnings.","Quality issues remain visible to users indirectly.","CI/release cannot be trusted.","None direct.","Fix lint errors and set lint as release gate.","XS","P1","Open"
"DATA-001","Database","prisma/schema.prisma; DB indexes","All","P1 High","Medium","Tenant-scoped uniqueness and performance indexes are incomplete.","Schema/index review found weak duplicate and query coverage for admissions/messages/homework/notices/invoices/students.","Duplicates and slow lists at scale.","Support burden and migration risk.","Data-integrity risk.","Add constraints/indexes with migration tests.","M","P1","Open"
"OPS-001","Operations","Repo/config","Operator","P1 High","High","Production health monitoring and runbooks are missing.","No health check, structured request IDs, error tracking, backup/restore runbook, or webhook monitoring found.","Slow recovery during outages.","Paid launch risk.","Incident response gap.","Add health route, Sentry/OpenTelemetry or equivalent, logs, alerts, backup/restore and webhook runbooks.","M","P1","Open"
"TRUST-001","Trust/legal","Public pages","Buyer/Parent","P1 High","High","Public privacy, terms, support, refund/cancellation, and data ownership pages are missing or incomplete.","Landing/public review found no complete trust surface.","Buyers and parents lack assurance.","Conversion blocker.","Compliance readiness gap.","Add trust/legal/support pages with qualified legal review.","M","P1","Open"
"A11Y-001","Accessibility","app/layout.tsx; locale handling","Parent/Teacher/Admin","P2 Medium","Medium","Telugu UI can render while document language remains English.","Browser showed Telugu labels; root language appears static.","Screen readers may mispronounce Telugu.","Regional trust weakness.","Accessibility compliance gap.","Set dynamic lang or mark Telugu text with lang attributes.","S","P2","Open"
"A11Y-002","Accessibility","app/(app)/attendance/[classId]","Teacher","P2 Medium","High","Attendance status controls are below 44px touch-target width on 360px viewport.","Browser measurement showed about 40px width.","Mis-taps during attendance.","Teacher adoption friction.","Accessibility gap.","Increase touch target width and retest 320/360 widths.","XS","P2","Open"
"A11Y-003","Accessibility","Layout and icon controls","All","P2 Medium","Medium","Skip link and some icon labels are missing or unclear.","Layout/page review and attendance snapshot.","Keyboard/screen-reader users have harder navigation.","Usability/trust impact.","Accessibility gap.","Add skip link and accessible names for icon-only controls.","S","P2","Open"
"SEO-001","SEO","public; app/layout.tsx","Buyer","P2 Medium","High","Technical SEO basics are missing.","No robots.txt, sitemap.xml, canonical, structured data, OG/Twitter images found.","Lower discoverability and poor link previews.","Inbound acquisition weakness.","None.","Add SEO basics and private-route indexing rules.","S","P2","Open"
"LP-001","Landing","components/landing/*","Buyer","P2 Medium","High","Landing page lacks focused ICP, proof, pricing/contact clarity, and real product screenshots.","Static landing review.","Buyers do not quickly understand why to choose EduOps.","Conversion weakness.","Misleading claims risk.","Reposition for coaching/tuitions and add truthful proof/screenshots/contact/pricing.","M","P2","Open"
"API-001","API quality","Multiple API routes","All","P2 Medium","Medium","Several APIs expose raw error strings to clients.","Route review saw String(e)/raw error patterns.","Users may see technical errors.","Support and polish risk.","Information disclosure risk.","Use safe error responses and log details server-side.","S","P2","Open"
"API-002","Abuse/rate limits","Multiple API routes","All","P2 Medium","Medium","Rate limiting is inconsistent or missing.","Review did not find systematic limits for OTP, imports, reminders, exports, sends.","Abuse can degrade service.","Cost and reliability risk.","Abuse/brute-force risk.","Add shared rate limiting for sensitive/high-cost endpoints.","M","P2","Open"
"PARENT-001","Parent portal","app/api/students/[id]/portal-token; app/p/[token]","Parent","P2 Medium","High","Parent token links are long-lived bearer credentials with weak lifecycle controls.","Token generated once; no expiry/rotation/revocation UI found.","Shared links can expose child data.","Parent privacy concern.","Bearer-token leakage risk.","Add expiry, rotation, revocation, audit, and regeneration UX.","M","P2","Open"
"COMP-001","Compliance","Product/legal processes","Buyer/Parent","P2 Medium","Medium","DPDP/children data readiness is incomplete.","No complete consent, retention, deletion, correction, vendor inventory, breach workflow found.","Schools cannot assess privacy readiness.","Sales/legal blocker.","Regulatory risk requiring counsel.","Add privacy/consent/retention/deletion/export workflows and get legal review.","L","P2","Open"
"OBS-001","Observability","Repo/config","Operator","P2 Medium","High","No request IDs or structured support diagnostics found.","Static review.","Hard to resolve customer complaints.","Support burden.","Incident forensics gap.","Add request IDs, structured logs, and support-safe diagnostic views.","S","P2","Open"
"TEST-001","Testing","package.json/tests","Engineering","P2 Medium","High","No broad E2E/API/payment/offline/accessibility test suite found.","Only lint/type/build/RLS scripts were evident.","Regressions can reach customers.","Launch confidence low.","Security regressions possible.","Add prioritized Playwright/API/RLS/payment/offline/a11y tests.","L","P2","Open"
"DB-001","Database","prisma/schema.prisma","Admin","P2 Medium","Medium","Academic year data model has consistency risk.","Class has both string academicYear and academicYearId style fields.","Wrong year/class records possible.","Reporting and rollover risk.","Data-integrity risk.","Consolidate or enforce consistency through migration/validation.","M","P2","Open"
"CRM-001","Admissions","/admissions; admissions APIs","Admissions/Admin","P2 Medium","Medium","Admissions CRM is closer to a lead board than a full follow-up workflow.","Browser showed empty Kanban; review found missing reminders/history/duplicate tests.","Counsellors may miss follow-ups.","Weak differentiation for coaching centres.","None direct.","Add follow-up dates, duplicate detection, call/WhatsApp actions, history, conversion attribution.","M","P2","Open"
"FEES-001","Fees/reporting","/fees; fees APIs","Accountant/Owner","P2 Medium","High","Core accountant reports are incomplete.","Fees rendered KPIs/list but no daily collection, ageing, collector tracking evidence.","Accountants need external spreadsheets.","Limits willingness to pay.","Financial control gap.","Add daily collection, payment mode, outstanding ageing, and collector reports.","M","P2","Open"
"UX-001","Mobile/scale","Multiple routes","All","P2 Medium","Medium","Large-list mobile behaviour is unproven.","Browser tested small seed data only.","Performance/usability may fail at real scale.","Adoption risk.","None direct.","Seed large data and run mobile task tests.","S","P2","Open"
"DEP-001","Dependencies","package lock/dependencies","Engineering","P2 Medium","High","Dependency audit reports vulnerabilities.","pnpm audit found 8 vulnerabilities.","Potential instability/security exposure.","Release risk.","Supply-chain risk.","Triage and upgrade/pin affected packages; distinguish dev/prod exposure.","S","P2","Open"
"UI-001","UI","/fees","Owner/Admin/Accountant","P3 Low","High","Fee class filters show duplicate visible class labels when sections share class name.","Browser saw duplicate Class 6 options.","Confusing filters.","Polish issue.","None.","Include section/group label consistently.","XS","P3","Open"
"UI-002","UI","Multiple empty states","All","P3 Low","Medium","Empty states need clearer next actions and support links.","Browser showed several blank module states.","Users may not know setup path.","Activation friction.","None.","Add role-aware CTAs and setup guidance.","S","P3","Open"
"DOC-001","Engineering docs","docs/security missing","Engineering","P3 Low","High","RLS, withRls, and prismaAdmin patterns need architecture documentation.","Codebase uses all three patterns without central allowlist doc found.","New changes may bypass intended safety.","Maintainability risk.","Future security drift.","Create security architecture doc and admin-use allowlist.","S","P3","Open"
"PERF-001","Performance","CI/config","Engineering","P3 Low","Medium","No route-level performance budget found.","Build inspected but no budget/CI threshold.","Slow pages can regress unnoticed.","Quality risk.","None.","Add Lighthouse/bundle budgets for key routes.","M","P3","Open"
"SEO-002","SEO/content","Public site","Buyer","P3 Low","Medium","No local/segment SEO content found.","Public review.","Missed inbound demand.","Growth limitation.","None.","Add coaching/tuitions/school content after ICP validation.","M","P3","Open"
"SUPPORT-001","Support","App/public docs","User","P3 Low","High","Contextual help for import, fees, and attendance is thin or missing.","Route/browser review.","Users need support for setup.","Higher support load.","None.","Add short help snippets, templates, and videos.","M","P3","Open"
"OPS-002","Operations","Public status/support","Buyer/User","P3 Low","Medium","No status page found.","Public review.","Users lack outage visibility.","Trust polish issue.","None.","Add simple status page after first pilots.","S","P3","Open"
"CV-001","Customer validation","ICP/pricing","Founder","Observation","Medium","Pricing willingness for coaching centres is unvalidated.","Market analysis and assumptions.","Potential wrong price/package.","GTM risk.","None.","Interview 10-20 buyers and run 3-5 pilots.","M","Validation","Open"
"CV-002","Customer validation","Payments","Founder","Observation","Medium","Need to validate whether online Razorpay or manual UPI/cash tracking matters more first.","Product-market analysis.","May build wrong payment priority.","Roadmap risk.","None.","Ask pilots about current collection modes and trust barriers.","S","Validation","Open"
"CV-003","Customer validation","Parent access","Founder","Observation","Medium","Need to validate parent preference for token links, OTP login, or WhatsApp-only updates.","Parent workflow analysis.","Parent adoption may lag.","Retention risk.","Privacy model depends on choice.","Test with parents in pilots.","S","Validation","Open"
"CV-004","Customer validation","Reports","Founder","Observation","Medium","Need to validate first 30-day accountant reports.","Fees/accountant analysis.","Reports may not match real collection practice.","WTP risk.","None.","Interview accountants and compare current spreadsheets.","S","Validation","Open"
"CV-005","Customer validation","Localisation","Founder","Observation","Medium","Need to validate Telugu localisation scope.","Browser saw Telugu nav; market analysis.","May over/under-invest in localisation.","Adoption risk.","Accessibility language implications.","Ask staff/parents which language is needed by role.","S","Validation","Open"
